Ens_ID	baseMean	log2FoldChange	pvalue	padj	factor	subsetting	value	ref.value	seqid	start	end	strand	gene_name	gene_biotype
ENSMUSG00000020875	6157.25542644373	-0.0201994185946158	0.971546792926592	0.988969038889839	genoclone	120_	delBins5-10del5-10	delBins5-10	chr11	96271456	96276595	+	Hoxb9	protein_coding
ENSMUSG00000020875	6333.92406834514	-0.147888653004284	0.834541933896301	0.999822534788035	genoclone	120_	delBins5-10del8-10	delBins5-10	chr11	96271456	96276595	+	Hoxb9	protein_coding
ENSMUSG00000020875	6698.87306969973	0.123122064245599	0.837705667229798	0.970091333773979	genoclone	120_	delBinv5-10clone2	delBins5-10	chr11	96271456	96276595	+	Hoxb9	protein_coding
ENSMUSG00000020875	5546.12154314535	-0.264708567691586	0.451242063513103	0.985265928225981	genoclone	120_	delBins5-10del7-10	delBins5-10	chr11	96271456	96276595	+	Hoxb9	protein_coding
ENSMUSG00000020875	5836.67106958334	-0.31268853080599	0.636485643867268	0.958028962736873	genoclone	120_	wt	delBins5-10	chr11	96271456	96276595	+	Hoxb9	protein_coding
ENSMUSG00000020875	5711.29928283621	-0.793698982496234	0.0481012787287376	0.999949433214544	genoclone	120_	delBinv5-10del7-10	delBins5-10	chr11	96271456	96276595	+	Hoxb9	protein_coding
ENSMUSG00000020875	7028.30994600374	0.00613197102720302	0.987897851150441	0.999381430475115	genoclone	120_	delBinv5-10clone1	delBins5-10	chr11	96271456	96276595	+	Hoxb9	protein_coding
ENSMUSG00000020875	5186.38403528177	-0.350956901169316	0.184973229547915	0.463274031782935	genoclone	delBdeli9-13ordelBins5-10del5-10_120_	delBdeli9-13	delBins5-10del5-10	chr11	96271456	96276595	+	Hoxb9	protein_coding
ENSMUSG00000020875	5775.34174719402	-0.372297913487306	0.187789160644242	0.999956456981836	genoclone	120_	delBdeli9-13	delBins5-10	chr11	96271456	96276595	+	Hoxb9	protein_coding
ENSMUSG00000020875	4851.5765439799	0.0671923774450887	0.897611571127642	0.9836274166445	genoclone	delBdeli9-13orwt_120_	wt	delBdeli9-13	chr11	96271456	96276595	+	Hoxb9	protein_coding
ENSMUSG00000049604	284.608382156198	5.16207715202397	4.10705938513406e-29	3.51945653167524e-26	genoclone	120_	delBins5-10del5-10	delBins5-10	chr11	96194315	96197447	+	Hoxb13	protein_coding
ENSMUSG00000049604	18.5194389376757	-0.388745521346725	0.757592095097632	0.999822534788035	genoclone	120_	delBins5-10del8-10	delBins5-10	chr11	96194315	96197447	+	Hoxb13	protein_coding
ENSMUSG00000049604	42.3809836785224	2.11859504813621	0.00259741071993792	0.249288588532107	genoclone	120_	delBins5-10del7-10	delBins5-10	chr11	96194315	96197447	+	Hoxb13	protein_coding
ENSMUSG00000049604	18.8234293117925	-0.158960394956161	0.847549573634684	NA	genoclone	120_	delBinv5-10clone2	delBins5-10	chr11	96194315	96197447	+	Hoxb13	protein_coding
ENSMUSG00000049604	1107.66427698002	1.07172996524362	0.0617698193540606	0.242765585296482	genoclone	delBdeli9-13ordelBins5-10del5-10_120_	delBdeli9-13	delBins5-10del5-10	chr11	96194315	96197447	+	Hoxb13	protein_coding
ENSMUSG00000049604	44.8532497151542	2.63885712067096	0.00445769230501027	0.999949433214544	genoclone	120_	delBinv5-10del7-10	delBins5-10	chr11	96194315	96197447	+	Hoxb13	protein_coding
ENSMUSG00000049604	16.7421550379855	-0.677823794427145	0.340186487698724	0.999381430475115	genoclone	120_	delBinv5-10clone1	delBins5-10	chr11	96194315	96197447	+	Hoxb13	protein_coding
ENSMUSG00000049604	12.1743478559755	-3.56439375581862	0.00513756485757321	NA	genoclone	120_	wt	delBins5-10	chr11	96194315	96197447	+	Hoxb13	protein_coding
ENSMUSG00000049604	765.398333321916	6.24676640612553	6.78102911910748e-22	1.09723832176278e-17	genoclone	120_	delBdeli9-13	delBins5-10	chr11	96194315	96197447	+	Hoxb13	protein_coding
ENSMUSG00000049604	858.598128163061	-9.82066756515591	5.3186793405537e-27	3.42416575944847e-23	genoclone	delBdeli9-13orwt_120_	wt	delBdeli9-13	chr11	96194315	96197447	+	Hoxb13	protein_coding
